Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Абрамчук,Юстина,Василівна,жіноча,2002-09-28,Кухар,місто Пирятин,"площа Овідіопольська дорога, буд. 3 кв. 988, Миколаївка , 89961",+380 79 260-53-35,zduplii@example.org
Башполченко,Варвара,Сергіївна,жіноча,1999-04-06,Громадський діяч,місто Бар,"проспект Салтикова-Щедріна, буд. 49, Великі Мости, 73628",043 569-37-46,vitaliigerega@example.org
Андрощук,Мирон,Максимович,чоловіча,1980-08-03,Модельєр,село Гірник ,"площа Глазунова 2-й, буд. 78, Буринь, 75910",462 20 57,rostyslav92@example.net
Власюк,Герман,Артемович,чоловіча,1986-11-28,Археолог,місто Кальміуське,"набережна Толбухіна, буд. 2 кв. 56, Зіньків, 20555",+380 (44) 637-39-01,nliashko@example.net
Забашта,Розалія,Романівна,жіноча,1995-10-06,Реабілітолог,село Татарбунари,"набережна 11-та ст. Великого Фонтану пляж, буд. 227 кв. 850, Миргород, 15867",+380 34 099 29 99,fhavryliv@example.com
Ящук,Тетяна,Сергіївна,жіноча,1992-08-30,Палеонтолог,хутір Тисмениця,"набережна Уральська, буд. 58, Арциз, 61063",060 696 31 43,shelestteodor@example.net
Верховинець,Ярослав,Ігоревич,чоловіча,1983-05-30,Астрофізик,селище Перечин,"набережна Палубний, буд. 22, Гайсин, 67704",006 523 93 27,mykhailyna49@example.com
Полтавець,Мартин,Олегович,чоловіча,1972-12-26,Фізик,хутір Валки ,"набережна Проектна 2-га, буд. 0 кв. 73, Алушта, 35262",+380 81 347-09-87,sirobabahalyna@example.org
Ткаченко,Панас,Васильович,чоловіча,1960-02-02,Скульптор,село Сторожинець,"проспект Кредитний, буд. 613 кв. 938, Гребінка, 27052",+380 98 064-60-44,iakymenkomyroslav@example.com
Данчук,Михайло,Андрійович,чоловіча,1979-05-01,Підприємець,село Комарно,"провулок Новобазарний, буд. 82 кв. 94, Родинське, 72136",833-96-33,lkolesnychenko@example.org
Червоненко,Христина,Василівна,жіноча,1964-05-07,Архітектор,хутір Чуднів,"набережна Весела, буд. 9, Мукачево, 54569",+380 21 178-50-33,kharchenkoeduard@example.net
Гавриш,Мартин,Олександрович,чоловіча,1996-04-03,Ріелтор,село Бучач,"проспект Верещагіна, буд. 6, Горішні Плавні, 48785",055 204 53 86,dmytro92@example.net
Рябченко,Хома,Максимович,чоловіча,1987-09-30,Намотувальник,селище Сокаль,"набережна Левкоєва, буд. 358 кв. 618, Корсунь-Шевченківський, 94058",+380 14 829-80-76,kshcherbak@example.org
Дурдинець,Гордій,Олександрович,чоловіча,1971-02-18,Мінералог,селище Білгород-Дністровський,"парк Маршала Бабаджаняна, буд. 92, Золотоноша, 88935",065 490-99-71,andriievychvarfolomii@example.com
Авраменко,Адам,Максимович,чоловіча,1996-12-16,Живописець,хутір Радомишль,"вулиця Рибальська, буд. 9, Погребище, 10406",029 814 00 09,oksanaiaremenko@example.net
Єрошенко,Охрім,Вікторович,чоловіча,1945-04-27,Скульптор,місто Сєвєродонецьк,"набережна Маринеско узвіз, буд. 35 кв. 41, Лубни, 65410",039-45-06,vashchenko-zakharchenkoviacheslav@example.org
Романенко,Орися,Миколаївна,жіноча,1962-07-13,Підприємець,хутір Кодима,"шосе Манежна, буд. 04, Яготин, 36549",026 786 85 65,ivasylevych@example.net
Шамрай,Юстина,Дмитрівна,жіноча,1987-07-24,Золотар,селище Миронівка,"узвіз Шкільний, буд. 6, Тараща, 96281",584-79-97,halynacherinko@example.net
Дзиндра,Феофан,Вікторович,чоловіча,1987-12-08,Адвокат,місто Помічна,"площа Тупиковий 1-й, буд. 27 кв. 646, Лутугине, 93183",+380 15 531-08-20,mamchursvitlana@example.org
Тригуб,Панас,Максимович,чоловіча,1994-02-09,Археолог,селище Заводське,"шосе Єврейська, буд. 19 кв. 2, П'ятихатки, 38860",+380 82 229 75 10,xbabko@example.org
Худяк,Емілія,Миколаївна,жіноча,2001-04-24,Музичний редактор,селище Пирятин,"узвіз Академіка Гаркавого, буд. 61 кв. 9, Прилуки, 99552",936 89 91,uholoborodko@example.org
Рудик,Хома,Миколайович,чоловіча,1996-06-01,Агроном,місто Липовець,"шосе Слобідський узвіз, буд. 38 кв. 7, Новомосковськ, 30709",+380 95 986-44-09,iaroslavpavlychenko@example.net
Тимченко,Зиновій,Ігоревич,чоловіча,2007-08-08,Різноробочий,селище Святогірськ,"набережна Ланжеронівський узвіз, буд. 931, Березань , 29270",068 730 88 09,marynapushkar@example.net
Бабиченко,Юхим,Леонідович,чоловіча,1951-02-25,Стиліст,місто Святогірськ,"набережна Учнівська, буд. 134 кв. 880, Молодогвардійськ, 19610",009 842-63-11,markovertyporokh@example.com
Шило,Олег,Миколайович,чоловіча,2006-06-07,Правник,село Калуш,"узвіз Розкидайлівська, буд. 23, Ходорів, 99180",045 568 78 75,anitasmyk@example.com
Гузій,Мартин,Олександрович,чоловіча,1954-04-05,Кінорежисер,село Ладижин,"парк Вапняний 2-й, буд. 19 кв. 4, Немирів, 50212",+380 (14) 423-65-41,mariia63@example.net
Дацюк,Венедикт,Дмитрович,чоловіча,1939-03-02,Круп'є,селище Сулимівка (Слов'янськ),"парк Сонячна, буд. 517 кв. 042, Верхівцеве, 07468",428 12 20,bohodarzhadan@example.net
Алексеєнко,Зиновій,Леонідович,чоловіча,1977-12-08,Гірничий інженер,село Вишневе ,"вулиця Мічуріна, буд. 8, Перещепине, 50500",+380 57 401-67-26,tsachenko@example.com
Запорожець,Зорян,Артемович,чоловіча,1995-02-01,Слідчий,місто Новий Розділ,"провулок Соляний 5-й, буд. 5, Буринь, 63239",308-28-22,pavlykiryna@example.net
Артим,Клавдія,Олександрівна,жіноча,1965-09-29,Епідеміолог,село Фастів,"парк Восьмого березня 1-й, буд. 5 кв. 62, Іллінці, 32116",+380 67 473 34 31,vyshniakzlatoslava@example.com
Фоменко,Наталія,Леонідівна,жіноча,1940-09-08,Бібліотекар,селище Радивилів,"вулиця Донцова Дмитра, буд. 62, Богуслав, 76352",036 566 43 01,aeibozhenko@example.net
Баштан,Амалія,Олегівна,жіноча,1957-08-28,Реабілітолог,хутір Липовець,"узвіз Щукіна, буд. 856, Покровськ, 28347",+380 04 750 76 66,zlatoslavamamchur@example.com
Зубко,Мілена,Леонідівна,жіноча,1954-08-13,Адвокат,місто Перевальськ,"узвіз Басейний 3-й, буд. 93 кв. 2, Вуглегірськ, 43972",+380 94 855-63-46,adam98@example.net
Колесниченко,Едита,Андріївна,жіноча,1991-07-02,Біолог,село Бердичів,"проспект Проектна 1-ша, буд. 1, Жидачів, 59557",103 69 06,ievdokymenkovalentyn@example.net
Товстуха,Ярина,Петрівна,жіноча,1984-08-09,Промисловець,хутір Роздільна,"проспект Бокаріуса Миколи, буд. 961, Яворів, 98500",215-68-56,tudovychenko@example.org
Бебешко,Ярема,Вікторович,чоловіча,2007-03-30,Електромонтер,місто Гола Пристань,"узвіз Магістральна, буд. 6, Ромни, 53024",022 930-73-76,ruslan47@example.net
Палій,Василь,Олегович,чоловіча,2005-12-05,Музичний редактор,хутір Корсунь-Шевченківський,"сквер Берегова, буд. 469, Рудки, 11714",+380 43 086-99-33,kolodubborys@example.org
Хорішко,Богуслава,Миколаївна,жіноча,1981-10-01,Мистецтвознавець,хутір Березівка,"шосе Привокзальний, буд. 6, Самбір, 59349",013 958 61 91,valerii72@example.org
Захарченко,Макар,Павлович,чоловіча,1995-11-11,Електротехнік,хутір Бахмут,"шосе Конструкторський, буд. 920 кв. 78, Городня, 91980",+380 35 191-58-19,bgzhytska@example.org
Дутка,Пріска,Сергіївна,жіноча,2005-06-08,Музичний редактор,місто Таврійськ,"шосе Псковська, буд. 4, Пирятин, 59557",022 488-17-16,tymofii59@example.org
Черінько,Дарина,Романівна,жіноча,1991-05-08,Намотувальник,хутір Кременець,"парк Ботанічний, буд. 72 кв. 62, Лисичанськ, 57335",007 92 07,violettarubets@example.com
Демиденко,Мирон,Миколайович,чоловіча,1954-07-30,Історик,хутір Остер ,"парк Старопортофранківська, буд. 08, Шумськ, 77368",+380 82 152-15-82,fgalagan@example.org
Їжакевич,Геннадій,Романович,чоловіча,1966-07-06,М'ясник,селище Ясинувата,"провулок Кренкеля, буд. 86 кв. 4, Білицьке, 91454",338-85-95,pchaika@example.com
Тесленко,Кирило,Вікторович,чоловіча,1998-08-15,Фізик,місто Інкерман,"провулок Івана Франка, буд. 98, Білогірськ, 05501",932-17-40,svyrydenkofrants@example.com
Оніщук,Мартин,Романович,чоловіча,1950-01-19,Фермер,хутір Чугуїв,"провулок 6-та Суворовська, буд. 11, Белз, 47354",896-75-36,boryslav71@example.net
Рябченко,Надія,Леонідівна,жіноча,1970-08-21,Електромонтер,село Олександрія,"проспект Заводська 2-га, буд. 87 кв. 24, Полтава, 57372",007 175 20 14,zakusylonazar@example.org
Хмара,Миколай,Олександрович,чоловіча,1978-02-19,Різноробочий,селище Камінь-Каширський,"сквер Круговий, буд. 76, Козятин, 25932",+380 (54) 076-20-46,liubov33@example.com
Кармалюк,Михайлина,Дмитрівна,жіноча,2002-04-29,Швачка,селище Федорівка,"проспект Вчительська, буд. 676 кв. 0, Золочів, 90420",+380 27 959-91-21,okhrimtverdokhlib@example.com
Джус,Дарина,Павлівна,жіноча,1964-04-23,Кухар,селище Костопіль,"сквер Совіньйонівський, буд. 763, Дубровиця, 92916",+380 81 437-36-60,svitlana51@example.com
Хоменко,Олесь,Сергійович,чоловіча,2007-02-10,Кухар,село Дубно,"набережна Дмитрія Донського, буд. 01 кв. 1, Жидачів, 20708",+380 72 122 98 23,adubas@example.com
Височан,Демʼян,Павлович,чоловіча,2005-12-19,Секретар,село Васильків,"провулок Проїзний 1-й, буд. 70 кв. 788, Козятин, 23148",037 580-79-26,stetsmyron@example.net
Ніколюк,Сніжана,Дмитрівна,жіноча,1982-11-18,Пекар,хутір Олександрівськ,"вулиця Троїцька, буд. 07 кв. 43, Зміїв, 58010",042 828-13-23,pdanylchuk@example.com
Онуфрієнко,Герман,Геннадійович,чоловіча,1987-11-17,Режисер,селище Миргород,"сквер Обсерваторний, буд. 7 кв. 273, Ізюм, 20101",050 766-23-17,vasylevychroksolana@example.net
Артюх,Віолетта,Василівна,жіноча,1967-10-15,Географ,місто Синельникове,"площа Шоста, буд. 734 кв. 531, Березне, 98454",+380 (65) 910-88-53,viacheslavzakharenko@example.net
Притула,Ада,Василівна,жіноча,1998-05-09,Електрик,місто Балаклія,"шосе Верф’яний, буд. 5, Липовець, 28275",409-31-78,orysiakolisnychenko@example.net
Чумак,Анастасія,Ігорівна,жіноча,1988-07-20,Гінеколог,місто Апостолове,"вулиця Новосельского, буд. 0 кв. 0, Семенівка, 45910",+380 83 629-13-82,leonidkhmara@example.org
Вакуленко,Богданна,Артемівна,жіноча,1991-12-22,Гірник,місто Буринь,"узвіз Луценка Івана, буд. 35, Кремінна, 11973",+380 60 603 32 64,izaporozhets@example.com
Христенко,Ліза,Михайлівна,жіноча,1988-12-10,Мистецтвознавець,хутір Соснівка ,"площа Верхня, буд. 7 кв. 3, Боково-Хрустальне, 85751",+380 01 490-43-90,marynaruban@example.net
Верховинець,Пріска,Олександрівна,жіноча,2000-10-15,Маркетолог,хутір Хрустальний,"набережна Кладовищний, буд. 446 кв. 9, Кролевець, 14135",+380 70 982 24 56,bebeshkomykyta@example.org
Лемешко,Борис,Максимович,чоловіча,2008-01-29,Пілот,село Подільськ,"провулок 14-та ст. Великого Фонтану пляж, буд. 059, Ворожба, 59510",+380 (10) 377-62-07,klymentshvachka@example.net
Фаренюк,Марʼяна,Петрівна,жіноча,1943-05-17,Ріелтор,селище Пустомити,"вулиця Ольгіївська, буд. 730, Гребінка, 07581",035 666-07-88,jkozak@example.org
Верховинець,Демʼян,Вікторович,чоловіча,1962-09-10,Інженер,село Українськ,"площа Композитора Ніщинського, буд. 07, Мена , 29927",+380 07 848 90 27,iaryna87@example.net
Єрошенко,Пріска,Павлівна,жіноча,1940-11-24,Музикант,село Сулимівка (Слов'янськ),"сквер Катаєва, буд. 5, Гола Пристань, 21158",014-32-55,opanaskhorishko@example.net
Щорс,Климент,Павлович,чоловіча,1948-03-22,Мірошник,хутір Перемишляни,"парк Волзький, буд. 24 кв. 462, Калуш, 23291",+380 80 934-12-15,sviatoslavapetrenko@example.net
Наливайко,Пріска,Василівна,жіноча,2003-12-11,Електрик,селище Лозова ,"проспект Святослава Ріхтера, буд. 247, Святогірськ, 67303",067 777-92-90,lukashiustyna@example.net
Ящук,Еріка,Федорівна,жіноча,1997-01-12,Прокурор,хутір Київ,"набережна Онезька, буд. 92 кв. 3, Новий Калинів, 41798",980-16-59,teodorkharchenko@example.com
Нестеренко,Богуслав,Олегович,чоловіча,1948-12-19,Літературознавець,селище Сватове,"площа Ромашкова, буд. 461, Ямпіль, 11624",021 993-97-62,criabovil@example.com
Абрамчук,Василина,Миколаївна,жіноча,1986-08-31,Візажист,місто Вижниця,"шосе Дорожня, буд. 6 кв. 218, Карлівка, 07181",+380 48 792 50 35,sviatoslava52@example.net
Сіробаба,Ірина,Геннадіївна,жіноча,1975-12-01,Круп'є,місто Хирів,"провулок Мала Садова, буд. 78 кв. 96, Гола Пристань, 34194",+380 14 527 29 57,albina38@example.net
Малишко,Устим,Максимович,чоловіча,1972-09-24,Літературознавець,хутір Моршин,"шосе Чорноморський, буд. 86, Нововолинськ, 13692",+380 (15) 945-64-46,avreliigzhytskyi@example.net
Андрощук,Станіслав,Артемович,чоловіча,1950-11-02,Реабілітолог,хутір Судак ,"провулок Уральський, буд. 957, Іловайськ, 28705",471 88 00,ostap97@example.net
Баклан,Антон,Вікторович,чоловіча,2003-01-29,Економіст,місто Вилкове,"узвіз Павлодарська, буд. 0 кв. 08, Корюківка, 66014",027 207-61-13,danylotokar@example.net
Калениченко,Франц,Олегович,чоловіча,1949-09-22,Краєзнавець,місто Родинське,"шосе 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 94, Хрестівка, 08989",325-60-27,zgerus@example.com
Лавренко,Марія,Василівна,жіноча,2004-09-14,Геолог,селище Жданівка,"провулок Дворянська, буд. 36, Прилуки, 47865",+380 79 774 95 06,tiahnybokvenedykt@example.net
Короленко,Едуард,Андрійович,чоловіча,1953-05-23,Ювелір,місто Первомайський ,"шосе Совіньйонівський, буд. 67, Підгородне, 44237",+380 97 557 41 30,irena38@example.org
Журба,Роман,Петрович,чоловіча,1974-06-30,Хімік,хутір Маріуполь,"площа Проектна 1-ша, буд. 856 кв. 0, Тараща, 62321",834 88 99,vitaliipylypenko@example.net
Кабалюк,Едита,Ігорівна,жіноча,1947-11-29,Бібліотекар,місто Новомиргород,"площа Одеса-Головна, буд. 79 кв. 47, Чоп, 62643",+380 78 277-44-80,tbaranyk@example.org
Бабко,Клавдія,Геннадіївна,жіноча,2008-05-02,Стиліст,місто Вашківці,"провулок Лінія 52-га, буд. 00 кв. 558, Болград, 03202",860-90-90,gsheremeta@example.net
Рудько,Ганна,Леонідівна,жіноча,1977-09-07,Громадський діяч,хутір Заставна,"проспект Прибережний, буд. 81 кв. 169, Новоград-Волинський, 23923",+380 25 439-53-93,fareniukolha@example.com
Карпа,Гордій,Геннадійович,чоловіча,1992-10-02,Пілот,місто Дубляни,"парк М’ясоєдовська, буд. 413, Волочиськ, 35783",042 710-21-41,solomon30@example.net
Баранець,Мартин,Олегович,чоловіча,1957-07-17,Піаніст,хутір Моспине,"парк Астрономічний, буд. 74 кв. 549, Шостка, 42664",073 684-25-23,ada49@example.net
Безбородько,Лариса,Ігорівна,жіноча,1954-08-16,Інженер,селище Городенка,"узвіз Студена, буд. 2, Вараш, 91190",+380 22 600-65-11,panas39@example.com
Вакуленко,Олександр,Дмитрович,чоловіча,1943-02-23,Прокурор,місто Чистякове,"вулиця Тінистий, буд. 299, Калуш, 33785",660-15-97,chumaksolomon@example.net
Токар,Станіслав,Миколайович,чоловіча,1968-04-18,Медик,село Новий Буг,"узвіз Кримський, буд. 8, Селидове, 67894",+380 (93) 581-40-34,bebeshkomaryna@example.net
Вернигора,Валентин,Федорович,чоловіча,1961-07-18,Дизайнер,селище Носівка,"площа Сєрогодського, буд. 7, Сулимівка (Слов'янськ), 68194",+380 (85) 971-19-32,zarudnyiiefrem@example.com
Ярема,Оксана,Іванівна,жіноча,2002-11-21,Стиліст,село Теребовля,"проспект Аркадіївський, буд. 1, Боково-Хрустальне, 32977",397-95-81,kkozachenko@example.com
Їжакевич,Святослав,Васильович,чоловіча,2001-06-13,Футболіст,селище Золоте,"площа Лип Івана та Юрія, буд. 10 кв. 60, Іршава, 69374",+380 95 563-12-85,ievhenpelekh@example.com
Чуйко,Алла,Петрівна,жіноча,1940-08-26,Сантехнік,місто Балаклія,"сквер Ланжеронівська, буд. 331 кв. 2, Молодогвардійськ, 57826",+380 (84) 696-88-15,liurchyshyn@example.net
Ященко,Борис,Андрійович,чоловіча,2002-04-26,Адвокат,хутір Ладижин,"провулок Вапняний 1-й, буд. 919 кв. 83, Вилкове, 72945",+380 43 941-82-05,demydzaika@example.net
Жайворон,Оксана,Олександрівна,жіноча,1939-08-07,Хімік,хутір Старий Крим,"провулок Садовського, буд. 55, Шостка, 79621",042 938-31-94,arsenabramenko@example.org
Іваничук,Єва,Михайлівна,жіноча,1987-09-14,Музикознавець,хутір Мар'їнка,"провулок Олександра Невського 4-й, буд. 8 кв. 84, Пологи , 61928",666 28 51,baranetsanita@example.com
Скирда,Олександр,Миколайович,чоловіча,2001-06-15,Державний службовець,селище Копичинці,"узвіз Пугачова, буд. 6 кв. 36, Берестечко, 02469",053 053 06 02,leontii82@example.org
Лавренко,Панас,Романович,чоловіча,1955-01-19,Мистецтвознавець,місто Новий Розділ,"парк Думська, буд. 0 кв. 518, Федорівка, 34075",+380 38 249-71-35,prykhodkohavrylo@example.org
Шило,Орхип,Михайлович,чоловіча,1939-10-15,Агроном,хутір Монастириська,"вулиця Щіпний, буд. 4, Ковель, 91340",+380 (99) 033-45-67,shuz@example.net
Дуплій,Гаврило,Васильович,чоловіча,1970-04-03,Акушер,село Кагарлик,"площа Кутова, буд. 385, Барвінкове, 92153",+380 69 623 32 70,eromanets@example.net
Іващенко,Альберт,Іванович,чоловіча,1990-04-10,Піаніст,хутір Острог,"набережна Торгова, буд. 807, Амвросіївка, 93482",+380 70 150-85-27,nataliiadubenko@example.org
Павлик,Камілла,Вікторівна,жіноча,1974-10-01,Краєзнавець,місто Волочиськ,"парк Радіо, буд. 42, Козятин, 97719",+380 61 499-23-02,bohdannateslia@example.org
Данченко,Тимофій,Васильович,чоловіча,1949-01-16,Пілот,село Зоринськ,"проспект Могилівська, буд. 442, Вознесенськ, 63409",078 521 83 93,yazhazha@example.com
Примаченко,Симон,Леонідович,чоловіча,1946-05-19,Перекладач,місто Новодністровськ,"сквер Дюківський сад, буд. 290, Олександрія, 88845",+380 37 023-28-71,azarromanenko@example.com
Ісаєвич,Нестор,Ігоревич,чоловіча,1994-12-30,Фотограф,селище Бобринець,"вулиця Лінія 52-га, буд. 62 кв. 6, Чугуїв, 97124",+380 (99) 327-88-53,fievtushenko@example.com
Рубан,Ігнат,Павлович,чоловіча,1971-08-08,Пілот,село Новгород-Сіверський,"узвіз Індійська, буд. 46, Носівка, 39162",+380 26 801-91-58,andriitsushko@example.org
Цушко,Лесь,Павлович,чоловіча,1946-12-19,Стиліст,хутір Кипуче,"проспект Лінія 49-та, буд. 17 кв. 178, Сквира, 34495",+380 95 488 07 12,marianafareniuk@example.org
Щорс,Віталій,Артемович,чоловіча,1982-01-12,Палеонтолог,село Лубни,"узвіз Сурикова 1-й, буд. 1, Перемишляни, 79444",001 895 14 37,bhydenkohennadii@example.org
Артим,Ліза,Іванівна,жіноча,1959-03-24,Режисер,село Хрустальний,"провулок Четверта, буд. 7, Турка, 31950",+380 (35) 611-69-95,roman49@example.org
Бабариченко,Святослава,Ігорівна,жіноча,1977-10-25,Географ,місто Нове Давидково,"сквер Флотський 1-й, буд. 47, Калинівка , 04885",+380 01 522-70-30,pzakharenko@example.net
Деряжний,Павло,Юрійович,чоловіча,1975-04-24,Модельєр,селище Жовті Води,"проспект Юннатів 1-й, буд. 9 кв. 46, Чернівці, 78897",014 948 63 38,qmatviienko@example.org
Микитюк,Пармен,Дмитрович,чоловіча,1945-12-23,Зоолог,хутір Перещепине,"шосе Йосипа Тимченка, буд. 10, Ясинувата, 40541",935 51 15,danylotkach@example.org
Царенко,Михайлина,Максимівна,жіноча,1940-01-01,Філолог,місто Обухів,"шосе Історія Футболу, буд. 341, Ржищів, 73347",+380 50 630-40-33,nadiiaopanasenko@example.net
Хоменко,Кирило,Олегович,чоловіча,1981-10-23,Науковець,селище Чернігів,"парк Задніпровського, буд. 66, Каховка, 58372",076 967-51-63,cilienko@example.com
Ващенко-Захарченко,Єлисей,Сергійович,чоловіча,1989-12-05,Антрополог,селище Рубіжне,"площа Лермонтовський 2-й, буд. 7, Мар'їнка, 81606",+380 26 844-31-90,sofiia77@example.com
Василечко,Емілія,Федорівна,жіноча,1998-11-07,Співак,хутір Ірпінь,"провулок Гранатна, буд. 58, П'ятихатки, 42694",906 94 65,viacheslavkalchenko@example.net
Піддубна,Оксенія,Іванівна,жіноча,2004-01-27,Електротехнік,селище Жашків,"парк Короленка, буд. 621, Київ, 26115",+380 73 844-83-01,iashchukopanas@example.net
Бабич,Дарина,Іванівна,жіноча,1990-05-22,Ріелтор,селище Ромни,"парк 12-та ст. Великого Фонтану пляж, буд. 844, Березівка, 71566",504-00-33,smykhordii@example.net
Девдюк,Борислав,Павлович,чоловіча,1967-09-02,Сценарист,селище Шпола,"шосе Садова 1-ша, буд. 748 кв. 1, Лиман , 28547",+380 34 794-13-20,zhaidabura@example.org
Туркало,Ярина,Сергіївна,жіноча,1975-07-16,Сценарист,місто Миргород,"сквер Заводська 2-га, буд. 616, Токмак, 07225",+380 49 008-54-96,spas10@example.com
Ткач,Галина,Іванівна,жіноча,1969-11-06,Піаніст,селище Канів,"сквер Ювілейний 1-й, буд. 4, Сколе, 90218",+380 70 033-54-23,milena04@example.net
Дерегус,Дарина,Артемівна,жіноча,2008-04-05,Головний меркшейдер,село Харцизьк,"проспект Моторний 1-й, буд. 6, Алупка, 99362",072 476-07-84,chaidabura@example.com
Бевзенко,Марʼяна,Вікторівна,жіноча,1984-08-23,Електромонтер,селище Новий Розділ,"набережна Грибоєдова, буд. 282 кв. 6, Нововолинськ, 63674",053 537-99-91,fedirderevianko@example.net
Пушкар,Юстим,Олегович,чоловіча,1955-01-13,Електрослюсар,село Кремінна,"сквер Санітарна, буд. 1 кв. 810, Хрустальний, 81981",+380 49 061-09-37,babiichukdan@example.net
Тичина,Геннадій,Михайлович,чоловіча,1989-11-02,Вчитель,хутір Городище ,"провулок 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 193 кв. 342, Красноперекопськ, 37978",+380 (60) 744-05-48,vitalii13@example.net
Скопенко,Опанас,Дмитрович,чоловіча,1965-05-07,Випробувач,селище Умань,"площа Кибальчича, буд. 349, Черкаси, 58624",+380 (43) 919-22-81,alinasirko@example.org
Яценюк,Ігнат,Олександрович,чоловіча,1985-12-05,Єгер,місто Білопілля,"узвіз Хімічний 1-й, буд. 54, Конотоп, 67911",048 456 34 47,tkachenkovalerii@example.net
Рябець,Пилип,Юрійович,чоловіча,1982-05-09,Дерун,селище Носівка,"сквер Дніпровська, буд. 057 кв. 98, Кам'янка-Бузька, 48499",079 579-16-50,valentyn56@example.com
Микитюк,Єфрем,Сергійович,чоловіча,1991-06-13,Бібліотекар,село Городня,"провулок Степна, буд. 3 кв. 759, Чорноморськ, 96287",060 317 11 78,snizhana23@example.com
Франчук,Охрім,Миколайович,чоловіча,1952-02-24,Хімік,місто Біла Церква,"проспект Могилівська, буд. 20 кв. 905, Амвросіївка, 86906",+380 09 263 54 09,oryna50@example.net
Затовканюк,Онисим,Романович,чоловіча,1989-08-26,Кінорежисер,місто Курахове,"проспект Олександра Вронського, буд. 775, Ромни, 92995",+380 (24) 133-33-49,iorobets@example.com
